Date,Open,High,Low,Close,Adj Close,Volume
2018-05-24,31.770000,32.049999,31.280001,31.629999,31.105608,24034700
2018-05-25,31.590000,32.009998,31.580000,31.750000,31.223621,13190300
2018-05-29,31.549999,31.889999,31.379999,31.510000,30.987600,19084300
2018-05-30,31.680000,31.700001,31.320000,31.480000,30.958097,17408700
2018-05-31,31.549999,31.570000,30.670000,31.180000,30.663071,35462000
2018-06-01,31.340000,31.450001,31.120001,31.260000,30.741745,18234100
2018-06-04,31.299999,31.510000,31.150000,31.290001,30.771248,19434400
2018-06-05,31.260000,31.320000,31.040001,31.080000,30.564728,22919900
2018-06-06,31.129999,32.490002,30.959999,32.270000,31.734997,33711500
2018-06-07,32.419998,32.660000,31.950001,32.000000,31.469475,26415000
2018-06-08,31.980000,32.189999,31.840000,32.080002,31.548151,21775000
2018-06-11,31.969999,32.439999,31.879999,32.000000,31.469475,25960600
2018-06-12,31.940001,32.619999,31.830000,32.380001,31.843178,32994300
2018-06-13,31.030001,32.650002,30.990000,32.320000,31.784170,45830100
2018-06-14,32.849998,34.060001,32.770000,33.820000,33.259304,42639500
2018-06-15,34.389999,34.400002,33.590000,33.880001,33.318310,53138700
2018-06-18,33.790001,33.790001,32.560001,32.580002,32.039864,29986200
2018-06-19,32.169998,33.080002,32.169998,32.810001,32.266045,29019100
2018-06-20,33.349998,33.720001,32.340000,33.389999,32.836430,50020200
2018-06-21,33.349998,33.650002,32.650002,32.790001,32.246376,35125600
2018-06-22,33.000000,34.150002,32.910000,33.810001,33.249470,105512100
2018-06-25,33.799999,34.110001,32.910000,33.119999,32.570908,33063300
2018-06-26,33.310001,33.310001,32.669998,32.779999,32.236542,31471300
2018-06-27,32.560001,32.900002,32.290001,32.290001,31.754667,28842400
2018-06-28,32.439999,32.700001,32.080002,32.630001,32.089031,25199400
2018-06-29,32.509998,33.599998,32.500000,32.810001,32.266045,37956600
2018-07-02,32.439999,33.220001,32.419998,33.169998,32.810078,17165000
2018-07-03,33.200001,33.610001,32.990002,33.090000,32.730946,12660800
2018-07-05,33.380001,33.400002,32.910000,33.119999,32.760620,11330300
2018-07-06,33.270000,33.610001,33.000000,33.580002,33.215630,11541300
2018-07-09,33.779999,33.799999,33.250000,33.560001,33.195847,13664900
2018-07-10,33.709999,33.720001,33.189999,33.340000,32.978233,12363300
2018-07-11,33.090000,34.180000,33.029999,33.770000,33.403564,33639100
2018-07-12,33.680000,34.570000,33.599998,34.549999,34.175106,22374100
2018-07-13,34.400002,35.150002,34.400002,34.700001,34.323479,25167300
2018-07-16,34.740002,35.270000,34.650002,34.970001,34.590546,22937600
2018-07-17,34.709999,34.919998,34.209999,34.270000,33.898140,21119900
2018-07-18,34.119999,34.450001,33.980000,34.040001,33.670639,16172600
2018-07-19,35.139999,35.290001,34.740002,34.910000,34.531200,41627300
2018-07-20,34.770000,34.950001,34.290001,34.299999,33.927814,24577000
2018-07-23,34.160000,34.299999,33.820000,34.169998,33.799229,22336100
2018-07-24,34.169998,34.290001,33.349998,33.389999,33.027691,21795000
2018-07-25,33.389999,33.520000,32.810001,33.419998,33.057365,22055800
2018-07-26,34.840000,35.099998,33.770000,34.750000,34.372932,40293000
2018-07-27,34.840000,35.610001,34.759998,35.080002,34.699356,22686900
2018-07-30,35.060001,35.700001,35.020000,35.459999,35.075230,21883100
2018-07-31,35.650002,36.090000,35.540001,35.779999,35.391758,21644300
2018-08-01,35.900002,35.900002,35.320000,35.400002,35.015881,20155600
2018-08-02,35.169998,35.200001,34.619999,34.639999,34.264126,19240300
2018-08-03,34.939999,35.430000,34.730000,35.410000,35.025776,16485800
2018-08-06,35.590000,35.759998,35.290001,35.320000,34.936749,12087200
2018-08-07,35.450001,35.520000,35.189999,35.400002,35.015881,10952200
2018-08-08,35.470001,35.490002,34.889999,35.049999,34.669682,12297700
2018-08-09,35.099998,35.810001,35.049999,35.490002,35.104904,17122800
2018-08-10,35.259998,35.340000,34.950001,35.080002,34.699356,11873700
2018-08-13,35.119999,35.189999,34.779999,35.040001,34.659786,15910600
2018-08-14,35.099998,35.490002,35.040001,35.389999,35.005989,10478900
2018-08-15,35.200001,35.270000,34.669998,34.970001,34.590546,15367600
2018-08-16,35.049999,35.849998,35.009998,35.660000,35.273060,16394500
2018-08-17,35.560001,35.849998,35.349998,35.599998,35.213711,12079500
2018-08-20,35.700001,35.730000,35.299999,35.430000,35.045555,9957900
2018-08-21,35.450001,36.009998,35.430000,35.740002,35.352192,11407000
2018-08-22,35.700001,35.740002,35.450001,35.480000,35.095013,7951800
2018-08-23,35.380001,35.480000,35.259998,35.310001,34.926857,11487500
2018-08-24,35.369999,36.790001,35.320000,36.500000,36.103947,24501900
2018-08-27,36.639999,36.700001,36.400002,36.430000,36.034702,11958300
2018-08-28,36.660000,36.700001,36.200001,36.349998,35.955574,10815200
2018-08-29,36.270000,36.900002,36.220001,36.750000,36.351231,13419100
2018-08-30,36.549999,36.700001,36.410000,36.680000,36.281994,10563600
